S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
93,Umpqua Community College,"Roseburg, Oregon",10/1/2015,Community College Classroom,Close,Students,terrorism,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.",10,7,16,0,,,,Unknown,Two or more races,Male,43.22205555,-123.3522367
94,"Inglis, Florida","Inglis, Florida",10/1/2015,,Open,Ex-Wife,anger,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",3,1,3,0,57,,,Unknown,White American or European American,Male,29.03270634,-82.65919302
95,Hill Haven Event Center (Formerly Club CJ's),"Greenville, Georgia",9/27/2015,Club,Close,random,,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.,0,10,10,0,,,,Unknown,Black American or African American,Male,33.02912644,-84.7143335
96,"Platte, South Dakota","Platte, South Dakota",9/17/2015,Home,Close,Family,,"The six members of a South Dakota family found dead in the ruins of their burned home were fatally shot, with one death believed to be a suicide. All six members of the shooter's family died of shotgun wounds.",6,0,5,0,,,,Unknown,White American or European American,Male,43.38682722,-98.84357239
97,"Clearbrook (Greenwood), Minnesota","Clearbrook (Greenwood), Minnesota",9/10/2015,Home,Close,random,,"Five family members - two adults and three children - were found dead in a home on Thursday, September 10 in an apparent murder-suicide. The shooter, a nurse, founded the website AllNurses.com, which provides information and resources for and about the nursing profession.",5,0,4,0,,1,,Yes,White American or European American,Male,47.69618799,-95.42844094
98,"Bristol, Tennessee","Bristol, Tennessee",8/29/2015,,,Family,psycho,"The shooter shot and killed his mother, stepfather, and grandmother in a matter of seconds on Saturday night.",3,1,4,0,,,,Unknown,White American or European American,Male,36.55605824,-82.21429551
99,Virginia WDBJ live TV interview shooting,"Roanoke, Virginia",8/26/2015,Outdoor Shopping Mall,Open,Coworkers,psycho,"Wednesday morning on August 26, 2015, a former employee of a Virginia TV news station waited until two of his former colleagues were live on air presenting a local tourism story at an outdoor shopping mall, then filmed himself raising a gun and shooting them both dead. A third victim survived the attack. He uploaded the videos to Twitter before committing suicide.",3,1,3,0,,1,Virginia TV,Unknown,Black American or African American,Male,37.27823366,-79.95816104
100,Parking lot near Boys and Girls Club,"Rochester, New York",8/19/2015,Genesee Street,Open,random,,"Around 11:20 p.m. Wednesday on Genesee Street, a gunman shot into a crowd that gathered outside the Rochester Boys and Girls Club after a basketball game, killing three people and wounding four others. 
Drive-by, Gang involvement",3,4,7,0,,,,Unknown,Black American or African American,Male,43.1696837,-77.614337
101,"Houston, Texas","Houston, Texas",8/8/2015,Home,Close,Ex-Girlfriend,revenge,A family of six children and two parents were handcuffed and fatally shot in the head at a Houston home by a man with a violent criminal history who had previously been in a relationship with the mother and had a dispute with her.,8,0,8,0,,,,Unknown,Black American or African American,Male,29.79705548,-95.36763856
102,"Grand 16 Theatre, Louisiana","Lafayette, Louisiana",7/23/2015,Movie Theatre,Close,random,,"On July 23, 2015, a shooting occurred at The Grand 16 Theater movie theater in Lafayette, Louisiana. The shooter opened fire during a showing of the film Trainwreck, killing two people and injuring nine others before he committed suicide.",3,9,11,0,,,,Yes,White American or European American,Male,30.21233538,-92.0316453
103,Suwanee,"Suwanee, Georgia",7/22/2015,Home,Close,Family,psycho,A gunman killed his wife and her two young children inside a suburban Georgia home early Wednesday before fatally shooting himself.,4,1,4,0,,,,Unknown,White American or European American,Male,34.05057545,-84.06872262
104,"Amnicola Training Center, Chattanooga","Chattanooga, Tennessee",7/16/2015,military facilities,Open,Marines,terrorism,"Four Marines were shot dead Thursday after a gunman brazenly opened fire on two  military facilities in Chattanooga, Tennessee. The shooter was also killed and three people including a police officer were injured.",5,3,7,0,,,,Yes,White American or European American,Male,35.09318123,-85.23676751
105,River Forest,"River Forest, Illinois",7/12/2015,river forest,Open,Family,domestic dispute,Two people including the shooter are dead and three others were wounded following what began as a domestic violence incident in River Forest on Sunday morning. Two police officers were among those wounded by gunfire in the incident.,2,3,4,0,,,,Unknown,Unknown,Male,41.89499946,-87.81941392
106,Boom Boom Room,"Morven, North Carolina",6/20/2015,Club,Close,random,anger,"Two men were arguing in a club called the Boom Boom Room Saturday morning around 2:45. When they started shooting at each other, four bystanders were caught in the crossfire. One of shooters was arrested later, and the other turned himself in on Tuesday, June 23, 2015.",0,4,4,0,,,,Unknown,Black American or African American/Unknown,Male,34.86379864,-79.9996781
107,Charleston Church Shooting,"Charleston, South Carolina",6/17/2015,Church,Close,random,terrorism,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been â€œplanning something like that for six months.""",9,1,10,0,21,,,unknown,White,Male,32.788387,-79.933143
108,Miami Gardens,"Miami Gardens, Florida",6/16/2015,birthday party,,party guests,,"The shooter opened fire when fight broke out during birthday party around 5:30 p.m. The man pulled out a gun and opened fire, hitting four people.",0,4,4,0,,,,Unknown,Black American or African American,Male,25.94326707,-80.24253243
109,Trestle Trail bridge shooting,"Menasha, Wisconsin",6/11/2015,,,random,,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",3,1,4,0,27,,,Yes,Latino,M,,
110,Deer Lodge,"Deer Lodge, Montana",6/7/2015,,Close,Family,,"The man shot and killed his wife and three children, set a fire in the family's remote cabin and then killed himself.",5,0,4,0,,,,Unknown,White American or European American,Male,46.39761858,-112.7329333
111,Cleveland,"Cleveland, Ohio",5/31/2015,Home,Close,Ex-girlfriend,psycho,"On May 31, 2015, the shooter entered his ex-girlfriend's home and found his ex-girlfriend and her grandfather upstairs, shooting and killing both. He then took his own life.",3,1,3,0,,,,Unknown,Unknown,Male,41.47657557,-81.68051502
112,Conyers,"Conyers, Georgia",5/31/2015,liquor store,Close,random,psycho,"On May 31, 2015, the shooter entered the business just before 5 pm and open fire. He appeared to randomly shoot at anyone in his path but turns and leaves the building when an armed citizen off-camera returns fire. After the shooter left the liquor store, he  returned to his parents' home and shot and wounded them both. ",3,2,4,0,,,,Unknown,White American or European American,Male,33.66086267,-84.02688527
113,Club Maxey's,"Decatur, Illinois",5/25/2015,Club,Close,random,revenge,"On May 25, 2015, the shooter was attending a rap concert at a venue called Club Maxey Monday when he and the victim got into an altercation.  The four other people were wounded.",1,4,5,0,,,,Unknown,Black American or African American,Male,39.85566372,-88.93346458
114,Tucson,"Tucson, Arizona",5/12/2015,,,Family,psycho,"On May 12, 2015, the man gunned down four of his family members, including his 17-year-old niece, before fatally shooting himself in a murder-suicide.",5,0,4,0,,,,Yes,Unknown,Male,32.15358905,-110.9677647
115,Annual motorcycle event in Newark,"Newark, New Jersey",5/10/2015,opening of motorcycle season,Open,random,terrorism,"The shooting occurred during an annual event marking the opening of the motorcycle season. More than 2,000 people were in attendance when gunfire erupted at South 16th Street and 19th Avenue just before 8 p.m. Sunday. High school football star Al-Shakeem Woodson was shot and killed and three other people were wounded in the shooting.
The shooting was a result of a long-running feud between two other against the shooter and the 16-year-old.",1,3,4,0,,,,Unknown,Black American or African American,Male,40.73169648,-74.18417699
116,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,"Menasha, Wisconsin",5/3/2015,bridge,Open,random,,"On May 3, 2015, an argument with his ex-fiance likely motivated a university student to randomly shoot four people  on a bridge at a park Sunday night, three fatally. Then  the gunman also shot and killed himself.",4,1,4,0,,,,Yes,Unknown,Male,44.20455909,-88.4484585
117,Milwaukee,"Milwaukee, Wisconsin",5/1/2015,street,Open,random,domestic dispute,"dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been â€œplanning something like that for six months.""",2,3,5,0,,,,No,Unknown,Male,43.06420322,-87.96724385
118,Gates Pub,"Gates, New York",4/25/2015,Gates Pub,Close,random,terrorism,"On early Saturday morning of April 25, the man opened fire inside the Gates Pub. Seven people were shot, one of them was killed.",1,6,7,0,,,,Unknown,Black American or African American,Male,43.15693027,-77.69300856
119,Killeen,"Killeen, Texas",4/21/2015,Village West Apartments,Close,random,,"On April 21, 2015, the man fatally shot two women and wounded three others at the Village West Apartments. ",2,3,5,0,,,,Unknown,Black American or African American,Male,31.07925506,-97.73392317
120,Phoenix,"Phoenix, Arizona",4/16/2015,,,Family,,"On April 16, 2015, a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.",5,0,4,0,,,,Unknown,Some other race,Male,33.57145875,-112.0904854
121,Rome,"Rome, Georgia",4/7/2015,street,Open,random,,"On April 7, 2015, the man entered 20 Copeland St. about 11:10 p.m. Tuesday and demanded cash from one of victim. The man then fired a handgun at the victim, killing him. Police said at least two men intended to rob people at the Copeland Street home.",1,3,4,0,,,,No,Black American or African American,Male,34.26779152,-85.18822422
122,Indianapolis,"Indianapolis, Indiana",4/5/2015,Home,Close,random,,"On Sunday  evening of April 5, three suspects entered the apartment, fired multiple shots, and then fled the scene. Five people were injured, three of them were children. One of three suspects was arrested.",0,5,5,0,,,,No,Unknown,Male,39.77725479,-86.14635359
123,Daytona Beach,"Daytona Beach, Florida",4/3/2015,Home,Close,random,,"On April 3, 2015, four people were shot early Friday morning at a house party near Bethune-Cookman University in Daytona Beach. Four Bethune-Cookman University students were shot after the alleged gunman was kicked out of a house party about four blocks from the campus in Daytona Beach. The escaped suspect surrendered on April 6, 2015.",0,4,4,0,,,,No,Black American or African American,Male,29.19313443,-81.10173014
124,Tulsa,"Tulsa, Oklahoma",3/30/2015,Home,Close,Family,,"On March 30, 2015, police discovered four bodies of a family, including two young boys, inside a home in Tulsa, Oklahoma on Wednesday in what appeared to be a murder-suicide. Officers discovered the bodies Wednesday afternoon as they conducted a welfare check requested by the mother's employer who was concerned after the woman failed to show up for work or call in sick for two days. A handgun was found near the father's body. ",4,0,3,0,,,,Unknown,Asian American,Male,36.13543238,-95.91316117
125,Panama City Beach,"Panama City Beach, Florida",3/28/2015,Home,Close,party guests,,"On March 28, 2015, seven people were wounded, several critically, in a shooting at a Spring Break house party early Saturday. The shooter was arrested after the shooting.",0,7,7,0,,,,No,Black American or African American,Male,30.22540212,-85.87371301
126,Little Water,"Little Water, New Mexico",3/19/2015,,,Policeman,psycho,"On March 19, 2015, police officer was shot and killed after responding to a domestic violence situation. The shooter was holding his family hostage and allegedly pistol-whipped his wife and mother. The suspect led police on a 40-mile chase from New Mexico to Arizona before he was shot and killed.",2,2,3,1,,,,Unknown,Unknown,Male,36.44329,-108.723281
127,Mesa,"Mesa, Arizona",3/18/2015,,Open,random,,"On March 18, 2015, the shootings started with an argument inside a motel room that spilled outside, one man dead and two women wounded. The gunman then shot another man who was working at a nearby restaurant. The gunman got away from the restaurant by carjacking the school instructor's car. The man then went to an apartment complex about 2 miles away, and shot another man. Another man was found in a neighboring apartment building with multiple gunshot wounds.",1,5,6,0,,,,No,White American or European American,Male,33.42268696,-111.8163202
128,Cottonwood,"Cottonwood, Alabama",3/15/2015,Home,Close,Family,,"On Sunday night of March 15, the man broke into a house and killed two people including his wife and shot another person before turning the gun on himself.",3,1,3,0,,,,No,White American or European American,Male,31.0549687,-85.30100084
129,Brookhaven,"Brookhaven, Mississippi",3/13/2015,Home,Close,House Owner,,"On early Friday morning of March 13, the man accused of shooting  the owners of a house, killing the two and critically injuring the other three. The man rented a room in the house. The man and the house owner had argued about something, and the man pulled out a gun and started shooting. He was found dead on Saturday, May 31, 2015 in his cell.",2,3,5,0,,,,Unknown,Black American or African American,Male,31.58036482,-90.44323475
130,Tarboro,"Tarboro, North Carolina",2/28/2015,Barber Shop,Open+Close,random,terrorism,"On Saturday afternoon of February 28, 2015, one of the fatal shootings happened at the Master's Touch barber shop around 1 p.m. Another shooting  happened at a nearby mobile home park. A woman and man were shot in that encounter. Police later shot and killed the suspected gunman after they tracked down the suspect. ",4,0,3,0,,,,Yes,Black American or African American,Male,35.90434471,-77.55639964
131,Birmingham's Washington Park,"Birmingham, Alabama",2/27/2015,street,Open,Friends,psycho,"On February 27, 2015, the online Facebook brawl between two groups of friends spilled out into the streets with a planned videotaped fight.  After the melee ensued, two teenage males pulled out guns and started shooting at the girls. The shots killed 14-year-old girl and wounded two others.",1,2,3,0,,,,No,Black American or African American,Male,33.5282865,-86.79550448
132,Tyrone,"Tyrone, Missouri",2/26/2015,Home,Close,Family,psycho,"Late night on February 26, a man entered the home of two of his cousins and shot them. Their daughter escaped the home and called the police. The shooter proceeded to four other nearby residences, killing two more of his cousins and three other acquaintances. The shooter then drove to another county and killed himself in his car. The shooter's mother, who lived with the shooter, was found dead from lung cancer in her home.",8,1,8,0,,,,No,White American or European American,Male,37.204442,-91.876583
133,Charlotte,"Charlotte, North Carolina",2/24/2015,Home,Close,Contestant,,"On February 24, 2015, ""America's Next Top Model"" contestant was killed in a triple homicide at her boyfriend's home.",3,0,3,0,,,,No,Some other race,Male,35.226354,-80.836788
134,Clarkesville,"Clarkesville, Georgia",2/22/2015,Home,Close,Ex-Wife,,"On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.",3,2,4,0,,,,No,White American or European American,Male,34.61025711,-83.52918091
135,Killeen,"Killeen, Texas",2/22/2015,,,random,,"On Sunday night of February 22, Fort Hood soldier opened fire on three people, killing two and injuring one before forcing his wife into another home, where he killed her and then himself. ",4,1,4,0,,1,Fort Hood,No,Black American or African American,Male,31.07925506,-97.73392317
136,Chapel Hill,"Chapel Hill, North Carolina",2/10/2015,Home,Close,neighbors,anger,"On the evening of Feb. 10, 2015, a man entered the apartment of three Muslim students with whom he had an ongoing dispute about parking space. The man was a fellow resident of the apartment complex. He shot all three people in the head, killing them. ",3,0,3,0,,,,No,White American or European American,Male,35.92681467,-79.03850407
137,Moon Lake,"New Port Richey, Florida",2/9/2015,Home,Close,random,terrorism,"Early morning on Feb. 9, 2015 two shooters with significant criminal records entered a house Moon Lake and shot the four residents of the house. Three of the victims were killed and the fourth was injured and escaped the house after the shooters left. The shooters escaped and were arrested a week later.",3,1,4,0,,,,No,White American or European American/Some other Race,Male/Female,28.24653304,-82.71690259
138,Monroeville Macy's,"Monroeville, Pennsylvania",2/7/2015,Shopping Mall,Close,random,,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.",0,3,3,0,,,,No,Black American or African American,Male,40.4257455,-79.76092565
139,Douglasville,"Douglasville, Georgia",2/7/2015,Home,Close,Family,psycho,"On February 7, 2015, a man entered the house of his ex-wife and shot her, two of their children, her boyfriend, and wounded two of her children. He then went onto the street and shot himself.",5,2,6,0,,,,No,Black American or African American,Male,33.71059292,-84.71564276
140,"King, North Carolina","King, North Carolina",2/4/2015,,,random,psycho,"A Couple and their sons were found shot to death in their mobile home on Wednesday, February 4. 2015. All four family members were found shot in the head. The shooter shot his wife and two boys before killing himself.",4,0,3,0,,,,Unknown,White American or European American,Male,36.27617912,-80.35501402
141,McAvan's Pub,"Syracuse, New York",2/1/2015,Pub,Close,Ex-Girlfriend & Family,revenge,"Shortly after midnight on February 1, 2015, a man forced his ex-girlfriend at gunpoint to bring him to McAvan's Pub, where a birthday party with her relatives was taking place. The woman's brother attempted to separate her from her companion, at which point the man opened fire, injuring six people including his ex-girlfriend's brother.",0,6,6,0,,,,No,Black American or African American,Male,43.04093416,-76.14376763
142,LaGrange,"LaGrange, Georgia",1/28/2015,Home,Close,Family,psycho,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.",5,0,5,0,,,,No,White American or European American,Male,33.03607062,-85.0287065
143,Queens,"New York City, New York",1/24/2015,Home,Close,Family,psycho,"Early in the morning of January 24, 2015, a man shot his two daughters, wife, and mother-in-law, killing all but one of his daughters. The shooter  then went to his car and shot himself.",4,1,4,0,,,,No,Black American or African American,Male,40.68996411,-73.8720502
144,Omaha,"Omaha, Nebraska",1/24/2015,Party Outside Home,Open,random,terrorism,"On the morning of January 24, 2015, two shooters opened fire at a party outside a home in Omaha. Three were killed and five others were injured. One of the suspected shooters was arrested, but the other has not been identified. Possibly gang-related.",3,5,8,0,,,,No,Black American or African American,Male,41.265922,-96.05381421
145,Moscow,"Moscow, Idaho",1/10/2015,Home+Restaurant,Close,random,psycho,"On Friday, January 10, 2015, a man shot his adoptive mother in her house, walked to his landlord's nearby office and shot and killed him and injured another person in the office. He then drove to an Arby's that his parents frequented, asked to see the manager, and shot and killed her. ",3,1,4,0,,,,No,Asian American,Male,46.73059479,-116.9990042
146,Memphis,"Memphis, Tennessee",1/1/2015,,Open,party guests,anger,"On Jan. 1, 2015, 25 people were on a party bus that was shot at by people in two vehicles that followed the bus. At least one of these men had been in a verbal argument with one of the bus' passengers at a club where the party bus had stopped just before the shooting.",0,5,5,0,,,,No,Black American or African American,Male,35.10528976,-89.97734924
147,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",12/15/2014,Multiple Homes,Close,Ex-Wife & Family,psycho,"Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.",7,1,7,0,,,,Yes,White American or European American,Male,40.39359306,-75.49640881
148,Morgantown,"Morgantown, West Virginia",12/1/2014,Multiple Homes,Close,Ex-Girlfriend+random,psycho,"On December 1, 2014, a man entered the home of his ex-girlfriend and shot and killed her and her new boyfriend. He then proceeded to the home of a business rival, whom he killed, and the home of another man with whom his ex-girlfriend had been involved, whom he also killed. The shooter then drove to another county and shot himself.",5,0,4,0,,,,No,White American or European American,Male,39.63400851,-79.94839325
149,Florida State University,"Tallahassee, Florida",11/19/2014,Florida State University,Open,random,terrorism,"On November 19 just after midnight,  a graduate of Florida State University went to a library on campus which was full of people. He opened fire, injuring three people. Police arrived and told the shooter to drop the weapon, but he refused. Police then fired at the shooter, killing him.",1,3,3,0,,,,Yes,Black American or African American,Male,30.4549394,-84.25264151
150,Marysville-Pilchuck High School,"Marysville, Washington",10/24/2014,School Cafeteria,Close,Friends,anger,"On October 24, 2014, a freshman at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days. ",5,1,5,0,,,,No,Native American or Alaska Native,Male,48.04802409,-122.1359622
151,Albuquerque Auto Shop,"Albuquerque, New Mexico",8/8/2014,Outside an auto shop,Open,Ex-Girlfriend,anger,"The shooter pulled up to an auto shop and saw his ex-girlfriend talking with her current boyfriend. He crashed his car into the car the couple was standing next to. This knocked the current boyfriend to the ground. The shooter then fired fatal shots at his ex-girlfriend, and shot and injured three other women who had entered the shop.",2,3,4,0,,,,No,Some other race,Male,35.15290522,-106.7791378
152,Bourbon Street New Orleans,"New Orleans, Louisiana",6/29/2014,street,Open,random,anger,"On June 29, 2014, two men were having an argument on Bourbon Street, which escalated into a gunfight. Many shots were fired into the surrounding crowd, killing one and injuring nine.",1,9,10,0,,,,No,Two or more races,Male,30.0687242,-89.93147412
153,Nellis Plaza,"Las Vegas, Nevada",6/8/2014,Café+Walmart,Close,Policeman,psycho,"On the afternoon of June 8, 2014, a man and his wife approached two police officers having lunch in Las Vegas and began shooting, killing them both. The couple then fled to Walmart, where they killed an armed civilian attempting to stop the shooters. The man was killed by police and the woman killed herself at the Walmart.",5,0,3,2,,,,No,White American or European American,Male/Female,36.18931923,-115.3264875
154,Seattle Pacific University,"Seattle, Washington",6/5/2014,Seattle Pacific University,Close,Students,terrorism,"On June 5, 2014, a 26-year-old man entered a hall on the campus of Seattle Pacific University and began shooting at students. The shooter killed one student and injured two others before a student tackled and stopped the shooter as he was reloading.",1,2,3,0,,,,Yes,Some other race,Male,47.62199575,-122.323646
155,Isla Vista mass murder,"Santa Barbara, California",5/23/2014,,Open+Close,random,psycho,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",6,13,19,0,22,,,Yes,White,M,,
156,Kennesaw FedEx,"Kennesaw, Georgia",4/29/2014,Workplace,Close,Coworkers,terrorism,"On the morning of April 29, 2014, a 19 year-old package handler at the FedEx in Kennesaw, Georgia arrived at his place of work and began shooting. He wounded six of his coworkers before committing suicide.",1,6,6,0,19,1,FedEx,No,White American or European American,Male,34.02529674,-84.61766831
157,Fort Hood shooting 2,"Fort Hood, Texas",4/3/2014,Fort Hood Army Post,Open,Policeman,psycho,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.",3,12,15,3,34,1,Fort Hood,Unclear,Latino,M,,
158,Fort Hood,"Killeen, Texas",4/2/2014,Fort Hood Army Post,Open,Policeman,psycho,"On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide. ",4,16,19,3,34,1,Fort Hood,Yes,Some other race,Male,31.07925506,-97.73392317
159,San Francisco Tenderloin,"San Francisco, CA",3/23/2014,Outside Club,Open,random,anger,"On the evening of March 23, 2014, the shooters were arguing with a crowd outside of a club, which prompted them to retrieve arms from their car for the attack. Eight people were wounded by the attack, and there were no fatalities. The shooters were later apprehended.",0,8,8,0,,,,No,Black American or African American,Male,37.75457839,-122.4424343
160,Cedarville Rancheria Tribe,"Alturas, California",2/20/2014,,,Family+random,psycho,"On February 20, 2014, a 44-year old woman went to a tribe eviction meeting where she killed three family members and a worker. After running out of ammunition, the shooter grabbed a butcher knife and stabbed another person.",4,2,6,0,44,,,No,Native American or Alaska Native,Female,41.4911123,-120.549091
161,Centennial Hill Bar & Grill,"Montgomery, Alabama",12/28/2013,,Close,rapper+random,anger,"Early morning on December 28, 2013, a rapper had a confrontation with an acquaintance before going onstage. Soon after, the acquaintance left and re-entered the building and fired at the rapper. He and another shooter injured 5 and killed 3, including the rapper.",3,5,8,0,,,,No,Black American or African American,Male,32.34729571,-86.26730242
162,Los Angeles International Airport (LAX),"Los Angeles, California",11/1/2013,Los Angeles International Airport,Open,TSA Officer,anger,"On November 1, 2013, an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California, and pulled a rifle from his bag, killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey, are you TSA?"". If they said no, the shooter moved on.",1,3,4,1,23,0,,No,White American or European American,Male,34.17622092,-118.5399542
163,Sparks Middle School,"Sparks, Nevada",10/21/2013,Sparks Middle School in Nevada,Close,random,psycho,"On October 21, 2013, a 12-year old student at Sparks Middle School in Nevada, shot and injured two students and killed a teacher before killing himself. ",2,2,3,0,12,,,Unknown,Some other race,Male,39.54058388,-119.748291
164,Washington Navy Yard,Washington D.C.,9/16/2013,,Close,random,terrorism,"On September 16, 2013, a 34-yearl old contractor for the Navy Yard in Washington D.C, entered the building shooting randomly, killing twelve people and injuring three surviving victims before he was shot and killed by law enforcement officers.  Five other people were injured during the incident while trying to escape.",13,3,15,0,34,1,Navy Yard,Yes,Black American or African American,Male,38.90480894,-77.01629717
165,Oklahoma City Residence,"Oklahoma City, Oklahoma",8/14/2013,,,Family,psycho,"On August 14, 2013, a 40-year old man obsessed with actress Selena Gomez, fatally shot his mother, sister, niece and infant nephew. He was later arrested and told police he had to getaway from his family because they were preventing him from being with his one true love.",4,0,4,0,40,,,Yes,White American or European American,Male,35.46779189,-97.5191631
166,Homes in Desoto and Dallas,"Dallas, Texas",8/7/2013,Home,Close,random,psycho,"On August 7, 2013, a 44-year old former special education teacher allegedly went on a murder spree in the Dallas area, killing four people, including his ex-wife and estranged girlfriend, and wounding four others. Once police arrived at the second home, the shooter after running out of ammunition, reportedly pretended he was one of the victims and appeared catatonic.",4,4,8,0,44,0,,Unknown,Black American or African American,Male,32.79480596,-96.76631094
167,Ross Township Supervisor Council Meeting,"Salisbury , Pennsylvania",8/5/2013,Ross Township,Close,random,psycho,"On August 5, 2013, an unemployed 59-year old man went to Ross Township's monthly meeting in Salisbury, Pennsylvania, killing three people and injuring four more. The shooter was later restrained and shot in the leg by civilians at the scene. He had been forced to vacate his property of 20 years and had been living out of his car and in abandoned buildings ever since.",3,3,6,0,59,0,,No,White American or European American,Male,39.75344279,-79.08435956
168,Hialeah apartment shooting,"Hialeah, Florida",7/26/2013,Apartment Complex,Close,random,terrorism,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",7,0,7,0,42,,,Unclear,Latino,Male,25.8670105,-80.29146268
169,Santa Monica College,"Santa Monica, California",6/7/2013,,Open+Close,random,psycho,"On June 7, 2013, a 23-year old killed his father and brother at their family home and then set the home on fire in Santa Monica, California. He then forced a motorist to drive him to the Santa Monica College campus. On his way there he fired at commuters. During a 13-minute shooting spree spanning roughly 1.5 miles he killed three other people and three others wounded by gun shot. The shooter was killed by the police in the Santa Monica College library.",6,3,8,0,23,,,Yes,White American or European American,Male,34.02319149,-118.4815644
170,Village of Manchester in Illinois,"Manchester, Illinois",4/24/2013,Home,Close,partner's family,anger,"On April 24, 2013, a 43-year old man traveled to the home of his former partner's family in Manchester, Illinois. He shot and killed three adults (one  of them pregnant), a boy, and an infant, all members of the same family. There was a third child who, after shooting her, the shooter took to a neighbor's house; she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.",7,1,7,0,43,,,Unknown,White American or European American,Male,39.54231335,-90.33029852
171,Pinewood Village Apartments,"Federal Way, Washington",4/21/2013,Apartment,Close,Girlfriend,anger,"On April 21, 2013, a 27-year old man shot and killed his girlfriend at their apartment in Federal Way, Washington. He then shot two neighbors in the building's parking lot and a third victim in another apartment who had come out to see what was happening. It seems the shooter wanted to kill any witness after shooting his girlfriend. He was later killed by police.",5,0,4,0,27,,,Unknown,Black American or African American,Male,47.30909721,-122.3357553
172,Mohawk and Herkimer Villages in New York,"Mohawk, New York",3/13/2013,,Open+Close,random,psycho,"On March 13, 2013, an unemployed 64-year old man set his apartment on fire in Mohawk village, New York, before he went into a local barbershop and shot four people, killing two and wounding two others. Afterwards, the shooter drove to Herkimer village, where he shot and killed to other people at a local car servicing business. After the rampage, he holed up in an abandoned building where he had a standoff with police for 18 hours until he was shot and killed.",5,2,6,0,64,0,,No,White American or European American,Male,43.0104011,-75.0075119
